Composite_Figure,Panel,Manuscript_Panel_Description,Candidate_Subfigure_Script,Rendered_Subfigure_File,Primary_Raw_Data_Source,Data_Source_Type,Confidence,Notes
Fig1,a,"Fragmentation in MAGs can interrupt continuity and affect taxonomic classification, metabolic reconstruction, and BGC annotation.",No standalone plotting script identified; likely assembled in draw.io / Illustrator workflow.,E:/binning_paper/manuscript_graph/Fig1.pdf; E:/binning_paper/graph/Fig1_v2.drawio; E:/binning_paper/graph/Fig1???.drawio.ai,Conceptual schematic; no tabular raw dataset required. Visual assets embedded in draw.io/AI files.,drawio/ai schematic,likely,"Panel-level source is conceptual, not quantitative; likely exempt from Source Data but should be listed in provenance table."
Fig1,b,"Computational workflow of ArchLink: contrastive binning, context-aware scaffolding, constrained global matching.",No standalone plotting script identified; likely assembled in draw.io / Illustrator workflow.,E:/binning_paper/manuscript_graph/Fig1.pdf; E:/binning_paper/graph/Fig1_v2.drawio; E:/binning_paper/graph/Fig1b_transformer.drawio.pdf,Conceptual workflow diagram; may include embedded icons/illustrations rather than a data table.,drawio/pdf schematic,likely,Contains method schematic rather than numeric data.
Fig1,c,Representative downstream analyses before and after scaffolding.,No standalone plotting script identified; likely assembled in draw.io / Illustrator workflow from exemplar outputs.,E:/binning_paper/manuscript_graph/Fig1.pdf,Conceptual/illustrative examples of downstream improvement; exact underlying exemplars not yet mapped.,assembled schematic,unresolved,"If this panel embeds miniature result previews, their exact upstream sources should be identified later."
Fig1,d,"Components integrated in ArchLink, including paired-end linkage, protein-context-based adjacency prediction, and constrained graph matching.",No standalone plotting script identified; likely assembled in draw.io / Illustrator workflow.,E:/binning_paper/manuscript_graph/Fig1.pdf; E:/binning_paper/graph/Fig1_v2.drawio,Conceptual component diagram; no independent numeric source file.,drawio schematic,likely,May not require Source Data sheet if journal treats as schematic only.
Fig2,a,AMBER-based assembly-level binning quality (ARI and ACC) across CAMI II datasets.,E:/binning_paper/graph/Fig2_binning_acc.py,E:/binning_paper/graph/Fig2_binning_acc.pdf; E:/binning_paper/manuscript_graph/Fig2.pdf,E:/binning_paper/graph/binning_9/binning_acc.tsv,tsv,confirmed,Direct file read in script.
Fig2,b,Recovered bin counts in CAMI II simulated communities under permissive completeness and contamination thresholds.,E:/binning_paper/graph/Fig2_binning_9_simu.py,E:/binning_paper/graph/Fig2_binning_simu_0.9.pdf; E:/binning_paper/manuscript_graph/Fig2.pdf,E:/binning_paper/graph/binning_9/airways.txt; E:/binning_paper/graph/binning_9/skin.txt; E:/binning_paper/graph/binning_9/oral.txt,txt/tsv-like,confirmed,Script reads three dataset-specific text tables.
Fig2,c,Recovered MAG counts across completeness thresholds in real metagenomes.,E:/binning_paper/graph/Fig2_binning_5_real.py,E:/binning_paper/graph/Fig2_binning_real_0.95.pdf; E:/binning_paper/manuscript_graph/Fig2.pdf,E:/binning_paper/graph/binning_9/SRP169537.txt; E:/binning_paper/graph/binning_9/SRP114822.txt; E:/binning_paper/graph/binning_9/SRP107323_VD.txt,txt/tsv-like,confirmed,Script reads three real-data summary tables.
Fig3,a,Comparison of scaffolding precision and true-positive contig connections across ArchLink ablations and MetaCarvel modes.,E:/binning_paper/graph/fig3_simul_link_xiaorong.py,E:/binning_paper/graph/fig3_simul_link_xiaorong_nature_style.pdf; E:/binning_paper/manuscript_graph/Fig3.pdf,Values hardcoded in script: Dataset/Tools/TP/FP/Precision table.,hardcoded in script,confirmed,"Another script named fig3_scaffold_lollipop.py actually matches manuscript Fig3b, not Fig3a."
Fig3,b,"Primary long-read validation metrics in the Waste Water dataset: validation rate, depth consistency, structural purity, anti-chimeric safety.",E:/binning_paper/graph/fig3_scaffold_lollipop.py,E:/binning_paper/graph/Fig3a_scaffold_lollipop_ultra_compact.pdf; E:/binning_paper/manuscript_graph/Fig3.pdf,"Values hardcoded in script using updated metrics: validation rate 60.66/63.16/67.89; depth consistency 56.33/54.03/70.85; structural purity 94.13/93.85/96.53; anti-chimeric safety from 100-13.94, 100-15.70, 100-4.27.",hardcoded in script,confirmed,"Rendered filename keeps old Fig3a naming, but manuscript meaning corresponds to Fig3b."
Fig3,c,"Distribution of N50 improvement and effect size across Airways, Oral, and Skin datasets for ArchLink and MetaCarvel (b=1).",E:/binning_paper/graph/Fig3_N50_simulation3.py,E:/binning_paper/graph/Fig3_N50_simulation3.pdf; E:/binning_paper/manuscript_graph/Fig3.pdf,E:/binning_paper/graph/N50/airways_0.16_1_90_10_gold.tab; E:/binning_paper/graph/N50/airways_0.16_1_90_10_gold_metacarvel.tab; E:/binning_paper/graph/N50/oral_OK_90_10_gold.tab; E:/binning_paper/graph/N50/oral_OK_90_10_gold_metacarvel.tab; E:/binning_paper/graph/N50/skin_0.16_1_90_10_gold.tab; E:/binning_paper/graph/N50/skin_0.16_1_90_10_gold_metacarvel.tab,tab,confirmed,Script reads dataset-specific .tab files from N50 folder.
Fig4,a,Alluvial diagrams showing taxonomic assignments before and after ArchLink scaffolding.,E:/binning_paper/graph/Fig4_gtdbtk.py,E:/binning_paper/graph/Fig4a_taxonomic_promotion.pdf; E:/binning_paper/manuscript_graph/Fig4.pdf,E:/binning_paper/graph/gtdbtk/SRP169537_2.txt; E:/binning_paper/graph/gtdbtk/marine.txt; E:/binning_paper/graph/gtdbtk/VD.txt,txt,confirmed,Waste Water script path names SRP169537_2; marine corresponds to Deep Marine; VD corresponds to VD Stool.
Fig4,b,Whole-genome alignment comparisons against closest GTDB reference genomes; aligned genomic fractions and ANI values before/after scaffolding.,E:/binning_paper/graph/Fig4_fastani.py,E:/binning_paper/graph/Fig4c_representative_alignment.pdf; E:/binning_paper/manuscript_graph/Fig4.pdf,E:/binning_paper/graph/Fig4_fastani/fastani_37/fastani.txt; E:/binning_paper/graph/Fig4_fastani/fastani_22/fastani.txt; E:/binning_paper/graph/Fig4_fastani/fastani_VD/fastani.txt,txt,confirmed,Rendered output uses old file name Fig4c_representative_alignment.pdf although manuscript assigns this content to Fig4b.
Fig4,c,Changes in phylogenetic marker gene counts after scaffolding: SCG net increase and duplicated-marker reduction.,E:/binning_paper/graph/Fig4_marker.py,E:/binning_paper/graph/Fig4b_marker.pdf; E:/binning_paper/manuscript_graph/Fig4.pdf,E:/binning_paper/graph/SCG/537/pre_gtdbtk.bac120.markers_summary.tsv; E:/binning_paper/graph/SCG/537/post_gtdbtk.bac120.markers_summary.tsv; E:/binning_paper/graph/SCG/822/pre_gtdbtk.bac120.markers_summary.tsv; E:/binning_paper/graph/SCG/822/post_gtdbtk.bac120.markers_summary.tsv; E:/binning_paper/graph/SCG/VD/pre_gtdbtk.bac120.markers_summary.tsv; E:/binning_paper/graph/SCG/VD/post_gtdbtk.bac120.markers_summary.tsv,tsv,confirmed,"Panel bars summarize dataset-level net marker changes, and the updated source-data package now includes full paired bin-level marker tables derived from E:/binning_paper/graph/SCG."
Fig4,d,DRAM metabolic module completeness heatmap for the selected 14 paired MAGs with scaffold-associated taxonomic changes.,E:/binning_paper/graph/dram.py,E:/binning_paper/manuscript_graph/Fig4.pdf; supporting DRAM resources in E:/binning_paper/graph/dram,E:/binning_paper/graph/dram; user-confirmed upstream DRAM panel source. Related dataset-level DRAM files also exist in F:/Binlink-main/BinLINK/BinLINK/SRP169537_2/dram/metabolism_summary.xlsx; F:/Binlink-main/BinLINK/BinLINK/SRP107323_VD/dram/metabolism_summary.xlsx; F:/Binlink-main/BinLINK/BinLINK/SRP114822_123/dram/metabolism_summary.xlsx,dram directory + xlsx,likely,User confirmed final panel source directory is E:/binning_paper/graph/dram. Still worth checking which subset corresponds to the revised 14 paired MAGs when building Source Data.
Fig5,a,Comparison of total BGCs recovered by standard binners and by ArchLink categories across datasets.,E:/binning_paper/graph/Fig5_BGC_num.py,E:/binning_paper/graph/Fig5_BGC_num.pdf; E:/binning_paper/manuscript_graph/Fig5.pdf,"Values hardcoded in script for MetaBAT2/VAMB/ComeBin and ArchLink categories (Bin only, Novel BGC recovery, Core extension).",hardcoded in script,confirmed,Can later be externalized into a Source Data sheet even though current plotting script is hardcoded.
Fig5,b,Violin plots of total BGC length and core-region length before and after scaffolding.,E:/binning_paper/graph/Fig5_BGC_extension.py,E:/binning_paper/graph/Fig5_BGC_extension_NatureStyle.pdf; E:/binning_paper/manuscript_graph/Fig5.pdf,E:/binning_paper/graph/bgc_length/bgc_plot_data_revised.csv,csv,confirmed,Updated source-data package uses the revised per-call BGC table with BinID-resolved entries derived from bgc_plot_data_revised.csv.
Fig5,c,Alluvial diagrams showing changes in BGC boundary completeness before and after scaffolding.,E:/binning_paper/graph/Fig5_BGC_extension.py,E:/binning_paper/graph/Fig5_BGC_extension_NatureStyle.pdf; E:/binning_paper/manuscript_graph/Fig5.pdf,E:/binning_paper/graph/bgc_length/bgc_completeness_revised.csv; E:/binning_paper/graph/bgc_length/bgc_paired_length_revised.csv,csv,confirmed,Updated source-data package provides bin-resolved paired BGC length rows plus per-bin boundary-completeness counts from the revised bgc_length tables.
Supplementary Fig9,a,Genome-wide phylogenetic placement of the reconstructed wastewater Mycobacterium MAG.,Independent tree render; no plotting script identified in the local project.,G:/binning_paper/graph/Fig6_newtree.pdf,G:/binning_paper/graph/Fig6_newtree.pdf,software-generated PDF,confirmed,Former Supplementary Fig. 1a; reordered as Supplementary Fig. 9.
Fig6,a,Scaffold organization and extension of NAGGN and terpene/RiPP-like regions in the Waste Water Mycobacterium-related genome.,E:/binning_paper/graph/Fig6_validation_sandai2.py,E:/binning_paper/manuscript_graph/Fig6.pdf,"Contig lengths and strands, junction identity values, and BGC lengths before and after scaffolding are tabulated in Fig6a_scaffold_summary.",hardcoded in script + source-data table,confirmed,Revised main Fig. 6a; the former validation details are shown in Supplementary Fig. 10b.
Supplementary Fig10,a,Comparative genomic context of an extended NRPS region linked to adjacent luxQ genes.,E:/binning_paper/graph/Fig6_BGC_extension2.py,D:/Projects/ArchLink/tmp/zenodo_refresh_20260710/submission_support/nbt_supplementary_reordered_20260829/NBT_Supplementary_Figures_Reordered_20260829.pdf,Input directory coded in script: F:/binning_paper/graph/bgc_yanchang/537_133911,directory of gbk-like genomic context files,likely,Former Supplementary Fig. 1b; reordered as Supplementary Fig. 10a.
Supplementary Fig10,b,Validation of scaffold junctions using long-read spanning support and short-read depth consistency.,E:/binning_paper/graph/Fig6_validation_sandai2.py,E:/binning_paper/graph/Fig6_validation_sandai2.py,"Values hardcoded in script: spanning_reads = [4,22,7,16]; depth_ratios = [1.78,1.04,1.08,1.20]; ani_values = [99.8%,99.9%,99.7%,99.9%].",hardcoded in script,confirmed,Former Supplementary Fig. 1c; reordered as Supplementary Fig. 10b.
Fig6,b,Genomic organization of a divergent sactipeptide BGC including connect_00055 core fusion gene.,E:/binning_paper/graph/Fig7_BGC.py,E:/binning_paper/manuscript_graph/Fig6.pdf,F:/binning_paper/graph/bgc_xinzeng/SRP114822_123_group442230/3.region001.gbk,gbk,confirmed,Former Fig. 7a; renumbered as Fig. 6b.
Fig6,c,AlphaFold3 structural model of the predicted SkfC-Abi fusion protein.,No plotting script identified for the rendered structure image itself; likely external molecular-visualization export.,E:/binning_paper/manuscript_graph/Fig6.pdf,E:/binning_paper/graph/fig7_fold/pdb.pdb; E:/binning_paper/graph/fig7_fold/linyu.pse; E:/binning_paper/graph/fig7_fold/linyu.png,pdb/pse/png,likely,Former Fig. 7b; renumbered as Fig. 6c.
Fig6,d,Predicted aligned error (PAE) matrix of the modeled fusion protein.,E:/binning_paper/graph/Fig7_matrix.py,E:/binning_paper/manuscript_graph/Fig6.pdf,F:/binning_paper/paper/fold_2026_01_19_22_53/fold_2026_01_19_22_53_full_data_0.json,json,likely,Former Fig. 7c; renumbered as Fig. 6d.
